title,artist,NN,NNP,DT,IN,JJ,NNS,CC,PRP,VB,VBG,I,n't,'m,'s,know,like,got,You,And,'re,love,get,na,yeah,But,ai,back,gon,go,wan,want,need,Yeah,time,let,oh,make,way,right,see,average characters,uniqueness,average words,num long words,popular
Draco,Future,87.0,83.0,0.0,10.0,48.0,32.0,1.0,60.0,48.0,6.0,0.053726169844,0.0415944540728,0.00866551126516,0.0,0.00346620450607,0.0103986135182,0.0398613518198,0.0415944540728,0.0,0.0,0.00173310225303,0.0346620450607,0.00173310225303,0.0,0.0,0.0381282495667,0.0450606585789,0.0,0.00173310225303,0.00173310225303,0.00173310225303,0.0,0.0,0.0,0.0051993067591,0.0,0.0,0.0,0.0,0.0,4.21317157712,0.422150882825,109.428571429,0.202772963605,y
How Not To,Dan + Shay,17.0,22.0,2.0,2.0,12.0,8.0,6.0,22.0,9.0,2.0,0.134615384615,0.0576923076923,0.0,0.0192307692308,0.0512820512821,0.0128205128205,0.0,0.00641025641026,0.0128205128205,0.0192307692308,0.0,0.0,0.0,0.0,0.025641025641,0.0,0.0192307692308,0.0,0.00641025641026,0.0,0.0128205128205,0.00641025641026,0.00641025641026,0.0,0.0,0.0,0.0,0.025641025641,0.0,0.0,3.79487179487,0.435582822086,268.0,0.141025641026,y
Let Me Love You,DJ Snake,22.0,33.0,1.0,2.0,18.0,4.0,0.0,11.0,33.0,1.0,0.0376344086022,0.0698924731183,0.0,0.0215053763441,0.00537634408602,0.0,0.00537634408602,0.0,0.0,0.010752688172,0.0645161290323,0.0,0.0,0.00537634408602,0.0,0.0,0.0,0.0,0.0322580645161,0.0,0.0,0.00537634408602,0.0,0.0,0.0430107526882,0.0,0.0,0.0,0.0,0.0,4.26344086022,0.306603773585,265.0,0.193548387097,y
Star Of The Show,Thomas Rhett,53.0,12.0,5.0,7.0,11.0,4.0,4.0,12.0,7.0,9.0,0.0,0.0430107526882,0.0,0.0483870967742,0.0430107526882,0.00537634408602,0.00537634408602,0.0483870967742,0.0215053763441,0.0483870967742,0.0,0.0,0.0,0.0215053763441,0.0,0.00537634408602,0.0,0.0,0.0161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00537634408602,4.22043010753,0.382882882883,32.1,0.145161290323,y
Cheap Thrills,Sia,36.0,21.0,2.0,9.0,17.0,8.0,3.0,42.0,16.0,4.0,0.149606299213,0.0866141732283,0.0,0.0157480314961,0.0,0.0,0.0314960629921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011811023622,0.0157480314961,0.0,0.0,0.0,0.0,0.0,0.0629921259843,0.0,0.0,0.0,0.00393700787402,0.00393700787402,0.0,0.0,0.0,3.24409448819,0.171232876712,308.0,0.0787401574803,y
Love On The Brain,Rihanna,43.0,32.0,0.0,10.0,22.0,4.0,13.0,14.0,23.0,8.0,0.0506912442396,0.0184331797235,0.0,0.0,0.0,0.0322580645161,0.0322580645161,0.00460829493088,0.0552995391705,0.0,0.0460829493088,0.0414746543779,0.0,0.0138248847926,0.0,0.0,0.0,0.0,0.0,0.0,0.00460829493088,0.00460829493088,0.00460829493088,0.0,0.0,0.0,0.0,0.00921658986175,0.0,0.0,4.61751152074,0.366812227074,26.75,0.179723502304,y
Location,Khalid,45.0,25.0,0.0,3.0,15.0,7.0,1.0,18.0,17.0,1.0,0.0952380952381,0.0529100529101,0.00529100529101,0.042328042328,0.0,0.010582010582,0.010582010582,0.0,0.0,0.0,0.00529100529101,0.00529100529101,0.010582010582,0.0,0.00529100529101,0.0,0.0,0.0,0.010582010582,0.010582010582,0.0,0.047619047619,0.0,0.015873015873,0.015873015873,0.031746031746,0.00529100529101,0.0,0.0,0.0,4.08994708995,0.316239316239,74.5,0.201058201058,y
Losin Control,Russ,59.0,18.0,3.0,9.0,26.0,4.0,8.0,25.0,16.0,4.0,0.0487804878049,0.0325203252033,0.0,0.0894308943089,0.00406504065041,0.0121951219512,0.00813008130081,0.0,0.00406504065041,0.0,0.0284552845528,0.00406504065041,0.0,0.0,0.0284552845528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243902439024,0.00406504065041,0.0,0.0,0.0,0.00406504065041,0.0,0.0,4.5487804878,0.330065359477,336.0,0.268292682927,y
Caroline,Aminé,89.0,49.0,0.0,14.0,56.0,15.0,6.0,29.0,18.0,2.0,0.0602094240838,0.0261780104712,0.020942408377,0.0314136125654,0.00261780104712,0.0157068062827,0.00261780104712,0.0104712041885,0.0104712041885,0.0,0.00523560209424,0.0157068062827,0.0130890052356,0.0,0.00523560209424,0.0,0.0,0.00523560209424,0.0,0.0130890052356,0.020942408377,0.0,0.0,0.00523560209424,0.0,0.0,0.0,0.0,0.0,0.00523560209424,3.99214659686,0.290948275862,37.3076923077,0.164921465969,y
Tin Man,Miranda Lambert,14.0,27.0,0.0,4.0,8.0,3.0,1.0,12.0,8.0,2.0,0.0188679245283,0.0660377358491,0.00943396226415,0.00943396226415,0.0188679245283,0.0,0.0,0.0754716981132,0.00943396226415,0.0188679245283,0.00943396226415,0.00943396226415,0.0,0.0,0.0,0.00943396226415,0.0,0.0,0.0,0.0,0.0283018867925,0.0,0.0,0.0,0.0,0.0,0.0,0.00943396226415,0.0,0.0,3.89622641509,0.607476635514,29.4,0.11320754717,y
